Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     48.33     0.00        3     0.00     0.00  xsd::cxx::tree::one<xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> >, false>::set(std::unique_ptr<xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> >, std::default_delete<xsd::cxx::tree::string<char, xsd::cxx::tree::simple_type<char, xsd::cxx::tree::_type> > > >)
  0.00     48.33     0.00        3     0.00     0.00  spdlog::sinks::ansicolor_sink<spdlog::details::console_mutex>::set_color_mode(spdlog::color_mode)
  0.00     48.33     0.00        3     0.00     0.00  spdlog::sinks::ansicolor_sink<spdlog::details::console_mutex>::ansicolor_sink(_IO_FILE*, spdlog::color_mode)
  0.00     48.33     0.00        3     0.00     0.00  spdlog::sinks::sink::set_level(spdlog::level::level_enum)
  0.00     48.33     0.00        3     0.00     0.00  spdlog::logger::~logger()
  0.00     48.33     0.00        3     0.00     0.00  spdlog::details::R_formatter<spdlog::details::null_scoped_padder>::format(spdlog::details::log_msg const&, tm const&, fmt::v8::basic_memory_buffer<char, 250ul, std::allocator<char> >&)
  0.00     48.33     0.00        3     0.00     0.00  spdlog::details::os::in_terminal(_IO_FILE*)
  0.00     48.33     0.00        3     0.00     0.00  spdlog::details::os::is_color_terminal()
  0.00     48.33     0.00        3     0.00     0.00  std::array<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, 2ul>::~array() [clone .lto_priv.0]
  0.00     48.33     0.00        3     0.00     0.00  void std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> >::_M_realloc_insert<xsd::cxx::tree::sequence_common::ptr const&>(__gnu_cxx::__normal_iterator<xsd::cxx::tree::sequence_common::ptr*, std::vector<xsd::cxx::tree::sequence_common::ptr, std::allocator<xsd::cxx::tree::sequence_common::ptr> > >, xsd::cxx::tree::sequence_common::ptr const&)
