iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
26000,0.00000,1.66667,0.00000,1.66667,0.152778,0.500000,0.273148,0.402778,0.453704,0.365741,0.398148,0.361111,0.435185,0.439815,0.305556,0.407407,0.351852,0.453704,0.449074,0.361111,0.337963,0.319444,0.291667,0.365741,0.379630,0.328704,0.342593,0.393519,0.379630,0.277778,0.449074,0.379630,0.421296,0.379630,0.342593,0.458333,0.305556,0.375000,0.458333,0.300926,0.421296,0.356481,0.361111,0.365741,0.0601852,1.66667,0.00000,1.66667,0.00000,0.00000
27000,0.00000,1.66667,0.00000,1.66667,0.185185,0.421296,0.300926,0.421296,0.430556,0.319444,0.402778,0.356481,0.435185,0.435185,0.333333,0.481481,0.268519,0.430556,0.398148,0.319444,0.370370,0.314815,0.356481,0.347222,0.365741,0.347222,0.333333,0.430556,0.449074,0.254630,0.412037,0.319444,0.347222,0.500000,0.277778,0.453704,0.333333,0.435185,0.425926,0.351852,0.495370,0.273148,0.379630,0.393519,0.0555556,1.66667,0.00000,1.66667,0.00000,0.00000
28000,0.00000,1.66667,0.00000,1.66667,0.162037,0.486111,0.282407,0.379630,0.462963,0.305556,0.500000,0.259259,0.407407,0.435185,0.328704,0.462963,0.300926,0.435185,0.425926,0.282407,0.370370,0.333333,0.347222,0.328704,0.356481,0.342593,0.375000,0.412037,0.439815,0.296296,0.439815,0.319444,0.444444,0.435185,0.291667,0.412037,0.342593,0.384259,0.458333,0.319444,0.407407,0.347222,0.361111,0.430556,0.0509259,1.66667,0.00000,1.66667,0.00000,0.00000
29000,0.00000,1.66667,0.00000,1.66667,0.143519,0.476852,0.342593,0.370370,0.421296,0.319444,0.472222,0.291667,0.435185,0.467593,0.361111,0.407407,0.337963,0.412037,0.458333,0.333333,0.351852,0.351852,0.347222,0.314815,0.370370,0.300926,0.305556,0.495370,0.425926,0.328704,0.370370,0.333333,0.388889,0.435185,0.268519,0.416667,0.365741,0.444444,0.435185,0.277778,0.412037,0.356481,0.342593,0.412037,0.0601852,1.66667,0.00000,1.66667,0.00000,0.00000
30000,0.00000,1.66667,0.00000,1.66667,0.185185,0.500000,0.319444,0.439815,0.462963,0.342593,0.435185,0.337963,0.407407,0.416667,0.328704,0.430556,0.375000,0.439815,0.412037,0.365741,0.263889,0.379630,0.375000,0.351852,0.347222,0.319444,0.324074,0.430556,0.444444,0.310185,0.379630,0.365741,0.333333,0.430556,0.273148,0.462963,0.324074,0.435185,0.416667,0.314815,0.416667,0.310185,0.342593,0.356481,0.0555556,1.66667,0.00000,1.66667,0.00000,0.00000
31000,0.00000,1.66667,0.00000,1.66667,0.185185,0.412037,0.328704,0.476852,0.495370,0.277778,0.527778,0.328704,0.416667,0.462963,0.282407,0.462963,0.361111,0.467593,0.430556,0.375000,0.287037,0.384259,0.347222,0.324074,0.268519,0.342593,0.351852,0.421296,0.365741,0.351852,0.449074,0.333333,0.430556,0.412037,0.291667,0.402778,0.333333,0.430556,0.421296,0.319444,0.421296,0.300926,0.305556,0.361111,0.0138889,1.66667,0.00000,1.66667,0.00000,0.00000
32000,0.00000,1.66667,0.00000,1.66667,0.199074,0.402778,0.310185,0.458333,0.490741,0.388889,0.449074,0.300926,0.453704,0.412037,0.337963,0.439815,0.282407,0.407407,0.435185,0.314815,0.310185,0.361111,0.398148,0.356481,0.375000,0.356481,0.300926,0.425926,0.462963,0.314815,0.375000,0.300926,0.425926,0.425926,0.263889,0.453704,0.342593,0.416667,0.425926,0.263889,0.421296,0.310185,0.347222,0.425926,0.0185185,1.66667,0.00000,1.66667,0.00000,0.00000
33000,0.00000,1.66667,0.00000,1.66667,0.185185,0.509259,0.305556,0.439815,0.444444,0.268519,0.476852,0.296296,0.472222,0.416667,0.319444,0.421296,0.365741,0.393519,0.444444,0.282407,0.277778,0.361111,0.370370,0.300926,0.319444,0.370370,0.282407,0.439815,0.449074,0.273148,0.425926,0.291667,0.462963,0.449074,0.361111,0.407407,0.319444,0.375000,0.430556,0.319444,0.435185,0.375000,0.416667,0.356481,0.0509259,1.66667,0.00000,1.66667,0.00000,0.00000
34000,0.00000,1.66667,0.00000,1.66667,0.199074,0.449074,0.310185,0.458333,0.398148,0.361111,0.393519,0.319444,0.416667,0.421296,0.287037,0.490741,0.319444,0.425926,0.388889,0.277778,0.300926,0.365741,0.314815,0.365741,0.361111,0.342593,0.314815,0.412037,0.398148,0.324074,0.449074,0.273148,0.458333,0.472222,0.324074,0.449074,0.347222,0.384259,0.453704,0.328704,0.425926,0.379630,0.328704,0.402778,0.0694444,1.66667,0.00000,1.66667,0.00000,0.00000
35000,0.00000,1.66667,0.00000,1.66667,0.143519,0.425926,0.365741,0.393519,0.439815,0.384259,0.435185,0.300926,0.402778,0.449074,0.305556,0.356481,0.333333,0.398148,0.462963,0.277778,0.388889,0.347222,0.356481,0.337963,0.351852,0.300926,0.305556,0.421296,0.458333,0.300926,0.518519,0.282407,0.435185,0.435185,0.310185,0.476852,0.282407,0.453704,0.402778,0.356481,0.425926,0.305556,0.337963,0.467593,0.0277778,1.66667,0.00000,1.66667,0.00000,0.00000
