iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
25000,0.00000,0.00000,0.00000,0.00000,3.25300,2.54073,4.35848,4.36829,3.94146,5.52736,5.75692,6.28697,6.07342,5.98410,6.78518,6.96589,6.97009,7.31907,8.62600,7.60711,9.29852,8.12808,8.75054,8.18845,8.58786,7.96068,9.09960,8.60439,9.16201,8.08449,7.89387,7.52550,8.00685,7.48822,7.09411,6.68506,5.59409,6.24708,6.43065,5.28583,4.38685,5.01495,3.71681,3.34107,7.24139,0.00000,0.00000,0.00000,0.00000,0.00000
26000,0.00000,0.00000,0.00000,0.00000,2.90323,2.85732,3.62934,2.89829,5.17993,5.88441,5.87907,5.95769,6.45786,7.36807,7.50692,6.51680,7.65799,8.40411,8.25234,8.21046,9.29850,8.73659,9.37362,9.18984,7.50602,8.94468,10.1589,7.99581,8.15333,8.85810,8.49878,8.20185,7.38286,7.63681,7.03925,6.44612,6.83101,5.80824,5.40708,4.58383,5.54152,3.10598,5.93365,3.11957,4.54192,0.00000,0.00000,0.00000,0.00000,0.00000
27000,0.00000,0.00000,0.00000,0.00000,2.15184,3.42908,4.34807,4.11270,4.78767,5.39977,5.81490,6.09832,5.96920,7.41333,7.25362,8.73439,7.46063,8.62058,7.94739,10.1781,9.71855,8.60587,9.35221,8.43672,8.80817,8.66221,8.55768,9.99248,8.36462,8.14573,9.37617,7.37426,8.64374,7.25431,8.12561,6.23447,6.62211,5.70300,6.53662,4.98092,4.85289,4.37975,5.05443,2.53709,2.82228,0.00000,0.00000,0.00000,0.00000,0.00000
28000,0.00000,0.00000,0.00000,0.00000,2.50290,3.35432,3.75256,5.01722,4.56236,4.71057,6.62391,6.87099,7.61744,8.13145,7.73635,6.67727,8.60988,8.37779,10.0133,8.59435,9.98539,9.31707,8.74329,9.09684,9.87496,8.79926,9.52413,9.08419,8.84739,8.62616,7.55644,7.78840,8.14090,7.26987,8.66864,7.04896,6.93067,5.62921,5.16547,5.27568,5.19616,5.11684,3.45549,3.02238,1.96503,0.00000,0.00000,0.00000,0.00000,0.00000
29000,0.00000,0.00000,0.00000,0.00000,3.40342,2.93438,3.83001,5.29686,5.74198,6.00078,6.01825,7.04537,7.47276,7.20560,7.26150,9.16695,7.69014,8.85666,9.10270,9.02273,9.70588,9.14520,10.2200,11.5399,9.22007,8.97814,8.74979,9.91283,8.77790,9.09599,7.81111,8.30095,8.22869,9.12995,9.30034,7.74694,6.31697,6.16004,5.43594,4.12260,4.51588,4.93508,2.21344,3.24717,4.15324,0.00000,0.00000,0.00000,0.00000,0.00000
30000,0.00000,0.00000,0.00000,0.00000,3.42092,3.75142,3.93105,4.91070,4.69715,6.33309,6.12501,7.76437,7.32656,7.66601,7.50883,8.26967,7.60594,10.2167,9.48403,8.63488,9.61807,9.60357,10.1259,10.4061,9.90786,9.71865,9.75205,10.1508,9.50993,9.30688,9.63281,8.12114,7.75955,7.60705,7.46723,7.07703,6.10162,6.82996,5.53584,6.53538,3.91892,3.81262,4.67219,3.60707,4.56482,0.00000,0.00000,0.00000,0.00000,0.00000
31000,0.00000,0.00000,0.00000,0.00000,3.27320,4.21355,4.42388,3.50260,6.21338,5.97087,6.59481,6.93216,7.56089,7.63592,8.45549,8.69252,8.67324,8.26427,10.5224,9.87149,10.5194,9.97993,10.4608,9.84741,9.71494,10.6075,11.2461,9.50454,9.74895,10.3748,8.41459,8.21571,8.40816,7.71630,6.94475,7.19654,5.30374,7.33351,6.33502,5.77377,5.82141,5.12065,4.54180,3.89079,3.42786,0.00000,0.00000,0.00000,0.00000,0.00000
32000,0.00000,0.00000,0.00000,0.00000,3.48452,3.95862,4.03833,5.09275,5.46803,5.65744,5.71307,7.00817,7.32188,8.09354,8.92080,9.05373,8.87625,9.98025,9.24177,11.0661,8.23022,9.52213,10.7109,11.0083,10.3290,11.3808,11.6023,9.45902,9.53962,9.40727,7.76761,9.27393,8.49679,8.37086,8.54778,6.32053,7.65511,7.00790,5.94816,5.77146,4.82303,5.24255,5.04694,3.16214,3.53200,0.00000,0.00000,0.00000,0.00000,0.00000
33000,0.00000,0.00000,0.00000,0.00000,3.74205,5.35457,4.50028,5.70443,4.70488,5.63531,6.39354,6.74371,8.10118,8.06992,8.00667,9.99257,8.25664,9.41940,10.2828,10.2242,9.74453,11.2246,10.1873,10.8487,10.4913,11.4703,10.8793,10.0083,9.61799,9.47716,9.20505,9.03752,8.25252,8.08454,8.45044,8.31741,7.07426,7.31589,6.45987,6.54575,5.75155,4.01393,5.07815,3.17922,4.29254,0.00000,0.00000,0.00000,0.00000,0.00000
34000,0.00000,0.00000,0.00000,0.00000,4.02847,5.20564,4.67515,4.41613,6.46501,6.49480,7.45428,7.37360,6.53178,8.88272,9.23577,9.19799,9.69927,8.90547,10.5885,10.8138,10.2412,10.9433,10.1434,10.7390,10.3256,11.1263,10.3232,10.3358,10.3385,9.60060,9.31178,9.46285,8.89532,9.74842,9.68650,6.95287,7.00872,6.45865,6.22265,5.91825,4.78737,6.33947,4.08438,4.06682,4.27941,0.00000,0.00000,0.00000,0.00000,0.00000
